   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 255,         15933,           15683,           3324,      2990,         652,        518,      1715,           0,        507,         32640,             251,           2819,      32385,        15683,        4702
 256,         16183,           15932,           3374,      3013,         654,        521,      1734,           0,        511,         32896,             254,           2826,      32640,        15932,        4701
 257,         16408,           16156,           3443,      2835,         658,        508,      1743,           0,        602,         33153,             252,           2853,      32896,        16156,        4830
 258,         16665,           16412,           3482,      2713,         673,        494,      1740,           0,        514,         33411,             248,           2885,      33153,        16412,        4869
 259,         16796,           16542,           3506,      2945,         676,        521,      1754,           0,        548,         33670,             252,           2909,      33411,        16542,        4843
 260,         16854,           16599,           3584,      3064,         646,        526,      1748,           0,        521,         33930,             253,           2919,      33670,        16599,        4888
 261,         17113,           16857,           3586,      3083,         675,        617,      1759,           0,        523,         34191,             257,           2962,      33930,        16857,        4927
 262,         17342,           17085,           3626,      3551,         649,        586,      1776,           0,        540,         34453,             257,           3009,      34191,        17085,        5034
 263,         17597,           17339,           3678,      2969,         691,        527,      1785,           0,        530,         34716,             257,           3066,      34453,        17339,        5115
 264,         17803,           17544,           3719,      3012,         667,        526,      1796,           0,        531,         34980,             256,           3011,      34716,        17544,        5131
 265,         17876,           17616,           3814,      3194,         669,        548,      1803,           0,        535,         35245,             256,           3037,      34980,        17616,        5113
 266,         17925,           17664,           3758,      3028,         687,        538,      1804,           0,        536,         35511,             260,           3139,      35245,        17664,        5132
 267,         18047,           17785,           3762,      2993,         689,        540,      1823,           0,        540,         35778,             257,           3107,      35511,        17785,        5236
 268,         18259,           17996,           3810,      2981,         715,        537,      1816,           0,        543,         36046,             264,           3132,      35778,        17996,        5302
 269,         18350,           18086,           3863,      2939,         714,        535,      1826,           0,        541,         36315,             264,           3129,      36046,        18086,        5280
 270,         18510,           18245,           3932,      2961,         719,        539,      1847,           0,        545,         36585,             265,           3170,      36315,        18245,        5299
 271,         18687,           18421,           3936,      2967,         724,        538,      1848,           0,        545,         36856,             267,           3274,      36585,        18421,        5375
 272,         18949,           18682,           3958,      2973,         717,        540,      1868,           0,        560,         37128,             264,           3303,      36856,        18682,        5405
 273,         18988,           18720,           3976,      3443,         702,        592,      1876,           0,        559,         37401,             268,           3262,      37128,        18720,        5489
 274,         19048,           18779,           3964,      3308,         718,        569,      1879,           0,        555,         37675,             267,           3267,      37401,        18779,        5521
 275,         19146,           18876,           4117,      3016,         730,        571,      1889,           0,        593,         37950,             266,           3294,      37675,        18876,        5496
